Year,Month,Reported on,SVE,CVE,Title,Affected versions,Severity,Description,Acknowledgement
2015,12,2015-05-13,SVE-2015-4018,,Buffer overflow in datablock_write,KK(4.4) and above,Moderate,"A vulnerability writing received data without any inspection can lead to buffer overflow.
The supplied patch prevents a buffer overflow by checking if the size of source data is smaller than the destination buffer¡¯s.","Yanfeng Wang, Chiachih Wu, and Xuxian Jiang of C0RE Team"
2015,12,2015-10-22,SVE-2015-5068,,Remove FRP Lock,"Selected models including S6(TMO/SPR/USC only), Note5 and later which don¡¯t use Samsung FRP",High,"A vulnerability allowing the access to MyFiles before finishing Setup-Wizard enables to bypass the FRP lock by installing a malicious application.
The fix blocks the practice of Factory Reset before finishing Setup-Wizard.",
2016,1,2015-10-10,SVE-2015-5081,,Exposed provider and SQLi in SecEmailSync,L(5.0/5.1),High,"The combination of allowing unprivileged local applications to access some providers and having SQL injection (SQLi) vulnerability can enable any application to access all messages from 'SecEmail'.
The supplied patch prevents SQLi vulnerability by changing query code and unprivileged access by restricting the permission.", Roberto Paleari and Aristide
2016,1,2015-09-25,SVE-2015-4958,,msm_sensor_config security issues,"KK(4.4) and L with APQ8084, MSM8974, and MSM8974pro chipset",Moderate,"A vulnerability using without checking the boundary of buffers can lead to memory corruption.
The applied patch avoids an illegal access to memory by checking the boundary.",Chengjun and Wangyong of Alibaba Mobile Security Team
2016,1,2015-11-07,SVE-2015-5109,,Samsung Galaxy S6: android.media.process Face Recognition Memory Corruption (MdConvertLine),"KK(4.2/4.3/4.4), L(5.0/5.1)",Critical,"When a malformed BMP image is scanned by a facial recognition library, it can trigger an arbitrary code execution as overwriting the return address from a stack or a register.
The newly released ¡®libfacerecognition¡¯ library includes a defense code for prevention of memory corruption.",Natalie Silvanovich of Google Project Zero
2016,1,2015-11-07,SVE-2015-5110,,Samsung Galaxy S6: libQjpeg je_free Crash,L(5.0/5.1),Critical,"A malformed JPEG file can make memory corruption due to a flaw in 'libQjpeg.so' and it is possible to be used to exploit vulnerability.
The newly released 'libQjpeg' library includes a defense code for prevention of memory corruption.",Natalie Silvanovich of Google Project Zero
2016,1,2015-10-30,SVE-2015-5133,,?IAndroidShm IAPAService service DoS,"KK(4.4), L(5.0/5.1)",Low,"A vulnerability without proper exception handling in system services can lead to crash by calling malicious service commands.
The applied patch prevents crash by checking the condition of service commands.",Vinc3nt4H of Alibaba Mobile Security Team
2016,1,2015-11-11,SVE-2015-5131,,FRP Bypass Issue,All devices supporting FRP/RL,Critical,"A vulnerability allowed FRP bypass, and the patch addressed the issue.",
2016,2,2015-10-20,SVE-2016-5036,,SecNetfilter Security Patch,All devices using SecNetfilter driver on KK(4.4) or L(5.0/5.1),Moderate,"A vulnerability dereferencing Null-pointer during parsing the URL can make a memory corruption and be abused by attackers.
The supplied patch removes the 'SecNetfilter' driver.",Roberto Paleari and Aristide
2016,2,2015-10-30,SVE-2016-5134,,TvoutService_C service DoS,"KK(4.4), L(5.0/5.1), M(6.0)",Low,"A vulnerability without appropriate exception handling allows attackers to make a system crash easily through such as a DoS attack.
The supplied patch prevents unexpected crashes by confirming the validation of variables.",Vinc3nt4H of Alibaba Mobile Security Team 
2016,2,2015-12-15,SVE-2016-5326,,Buffer overflow vulnerability in Qualcomm WLAN Driver,J(4.2) and above with Qualcomm Wi-Fi chipset,Critical,"A vulnerability not confirming boundary condition before memory copy can make buffer overflow by an unexpected data size.
The supplied patch prevents buffer overflow by confirming the sizes of source and destination.",
2016,3,2015-12-11,SVE-2016-5301,,Modem interface exposed via USB on Secure,All devices,Moderate,"This vulnerability allows attackers to use modem interface in spite of secure lockscreen status.
The supplied patch prevents attackers from access to modem interface on condition of secure lockscreen.",Roberto Paleari and Aristide
2016,3,2015-12-14,SVE-2016-5421,,FRP Bypass Issue,L(5.0/5.1) with Spreadtrum or Marvell chipset,Critical,"A vulnerability allowed FRP bypass, and the patch addressed the issue.",
2016,3,2016-01-18,SVE-2016-5435,,Prevent IMEI modification,All devices with Shannon333/308/310 chipset,High,"A vulnerability keeping some key information linked to IMEI enables to get and modify IMEI eventually.
The supplied patch maintains the information only during a time whenever it is used.",
2016,3,2015-10-29,SVE-2016-5562,,Security patch of IMEI write block on RIL,"Selected models including S3(KK), Note2(KK), S4(L), Note3(L), and S5(L)",High,"This vulnerability enables attackers to rewrite IMEI by flashing customized firmware.
The supplied patch blocks rewrite of IMEI by write protection.",
2016,4,2016-01-07,SVE-2016-5393,,ACIPC-MSOCKET driver local privilege escalation Vulnerability,JBP(4.2) or KK(4.4) with Marvell chipset,Critical,"The vulnerability of ACIPC_MSOCKET driver enables an attacker to get privilege escalation through making a stack overflow.
The fix prevents stack overflow by restricting the access to the file and changing the vulnerable code into the proper.",Chiachih Wu and Xuxian Jiang of C0RE Team
2016,4,2016-01-17,SVE-2016-5534,,Non-existent Notification Listener App Vulnerability,Galaxy S6 Edge,High,"The vulnerability allows any application which having a specific component name to receive notifications even though the corresponding application is not installed on the device.
The fix prevents the component from receiving any notification by removing the component explicitly from ¡°enabled notification listeners¡±.",Ryan Johnson of Kryptowire
2016,4,2015-12-09,SVE-2016-5544,,Clipboard Vulnerability,All devices using Samsung clipboard,Moderate,"The vulnerability is a race condition that allows access to clipboard data.
The fix introduces synchronization points to avoid all possibility of a race condition.",Uri Kanonov and Avishai Wool of Tel Aviv University
2016,5,2016-02-23,SVE-2016-5733,,Arbitrary interactions with the radio layer (RILD),"JBP(4.3), KK(4.4), L(5.0/5.1)",Moderate,"The vulnerability of the misused whitelist allows unauthorized processes to contact RIL and issue radio-related commands like sending SMS or placing calls.
The patch prevents unauthorized processes from access to RIL by removing misused lists from the whitelist.",Roberto Paleari
2016,5,2015-12-16,SVE-2016-5317,,Crash on Samsung Gallery with Malformed Input Files,L(5.0/5.1),High,"The vulnerability of the Gallery library makes memory corruption during scanning malformed images which is possible to change the PC into an intended value.
The newly release 3rd-party library includes a defense code for prevention of memory corruption.",
2016,6,2016-03-21,SVE-2016-5871,,EAS SMIME algorithm security patch,M(6.0),Moderate,"Although Email client sends message of encrypted SMIME with 3DES, it doesn¡¯t send it with 3DES but with DES.
The fix modifies the misconfigured encryption type into the correct one.",Mattias Gr?ndahl
2016,6,2015-12-11,SVE-2015-5301,,Disable AT Command via USB with secured lockscreen,KK(4.4),Moderate,"The vulnerability allows device controls in spite of secured lock screen via AT command(USB).
The patch prevents AT command on secured lock screen.",Roberto Paleari
2016,6,2016-01-04,SVE-2016-5381,,SIM Lock bypass Issue,"L(5.0/5.1), M(6.0)",Low,"There is a difference between SIM Lock guidance and its actual operation.
The patch updates the description correctly.",Stephen Ledger
2016,6,2015-10-22,SVE-2015-5068,,FRP Bypass Issue,Galaxy Devices in L(5.0/5.1) supporting USB OTG and involving MyFile2014_L_ESS,High,"A vulnerability allowed FRP bypass, and the patch addressed the issue.",
2016,6,2016-03-16,SVE-2016-5923,,Application signature check bypass,"L(5.0/5.1), M(6.0) supporting Fingerprint among previous devices than GS6",High,"Error contained certification enables to bypass the signature check while installation of certain applications.
The fix resolves proper exception handling of signature check.",
2016,7,2016-04-05,SVE-2016-5953,,Vulnerability in audio service,All devices supporting Samsung Professional Audio SDK,High,"The Jack audio service doesn¡¯t have access control mechanism for shared memory and the vulnerability enables malicious application to access or modify values in shared memory, resulting in arbitrary code execution or privilege escalation.
The patch mitigates the risk by checking the values stored in shared memory and demoting the privilege of the service.",Mark Brand of Google Project Zero
2016,7,2016-04-12,SVE-2016-5980,,Null pointer dereference issue with socket,"KK(4.4), L(5.0/5.1), M(6.0) devices which have following combinations: AP + CP MDM9x35, or Qualcomm Onechip (MSM8909, MSM8996, MSM8916, and so on)",Moderate,"IPC socket code does not check null objects properly and a null deference would cause a system crash. A malicious attacker may exploit this vulnerability to crash the system.
The patch introduces a routine to filter out null objects to prevent null pointer dereference.",Tim Xia of Baidu
2016,8,2016-06-07,SVE-2016-6382,,fimg2d NULL Pointer Dereference,"L(5.0/5.1), M(6.0) devices with Exynos7420 chipset",Moderate,"The vulnerability exists due to a null pointer dereference on fimg2d driver.
The patch verifies if the object is null before dereferencing it.",James Fang and Anthony LAOU HINE TSUEI of Tencent Keen Lab
2016,8,2016-06-21,SVE-2016-6542,,OMACP message parsing vulnerabilities,"KK(4.4), L(5.0/5.1), and M(6.0)",Moderate,"The lack of exception handling for the OMACP message which has an empty field of WIFI profile, throws an exception error and leads to device reboot by Android Runtime Crash.
The patch applied an exception handling routine for an empty field of WIFI profile.",Tom Court of Context
2016,8,2016-05-11,SVE-2016-6242,,Possible Privilege Escalation in telecom,"L(5.0/5.1), M(6.0)",Moderate,"A vulnerability in SpamCall Activity components of Telecom application can make crash and reboot a device when the malformed serializable object is passed.
The patch complements the exception handling routine to prevent crash.",Zhaozhanpeng of Cheetah Mobile
2016,8,2016-05-11,SVE-2016-6244,,Possible Privilege Escalation in telecom,"L(5.0/5.1), M(6.0)",Moderate,"The vulnerability in SmartCall Activity components of Telecom application can make crash and reboot a device when the malformed serializable object is passed.
The patch complements the exception handling routine to prevent crash.",Zhaozhanpeng of Cheetah Mobile
2016,8,2016-04-20,SVE-2016-6008,,FRP Bypass Issue,M(6.0),High,"A vulnerability allowed FRP bypass, and the patch addressed the issue.",
2016,9,2016-05-11,SVE-2016-6248,,SystemUI Security issue,M(6.0),Moderate,"The vulnerability allowing access to the several activities in SystemUI without permission can crash SystemUI and restart the device.
The patch limits the access from outside to prevent illegal use.",Zhaozhanpeng of Cheetah Mobile
2016,10,2016-06-17,SVE-2016-6560,,Qjpeg 3rd party library security issue patch,"L(5.0/5.1), M(6.0)",Moderate,"Vulnerability in Qjpeg decode function may result in system crash when a malformed image is passed from a 3rd party library.
The patch fixes the vulnerability by modifying the proper memory allocation.",
2016,10,2016-05-27,SVE-2016-7011,,Kernel Crash via fb0(DECON),All devices which use Exynos AP chipset,Moderate,"Vulnerability in frame buffer interface results in system crash accessed by a malicious graphics user.
The patch fixes the vulnerability by adding the proper implementation in frame buffer interface.",
2016,11,2016-09-29,SVE-2016-7220,,"Heap-overflow in ""tlc_server""",M(6.0),Moderate,"There are two overflow vulnerabilities. One is Heap overflow due to passing an improper size when allocating buffers and the other is Integer overflow due to not verifying the bounds of the value.
The patch removes the part of code related with Heap overflow and verifies the range of integer value to prevent Integer overflow.",Gal Beniamini of Google Project Zero
2016,11,2016-09-06,SVE-2016-7044,,"system_server crash, DoS (AntService)","KK(4.4), L(5.0/5.1), M(6.0)",Low,"The system services ¡°AntService¡± doesn¡¯t have proper access control and exception handling. And it allows attackers to use system API of ¡°AntService¡± and cause rebooting of device by force-crashing the service.
The patch restricts unauthorized access to the ¡°AntService¡± and filters out improper cases which may cause crash.",He En of MS509 Team
2016,11,2016-06-11,SVE-2016-6736,,Kernel Crash on /dev/fimg2d ioctl command,All devices with Exynos 5433/54xx/7420 chipsets,Moderate,"The fimg2d which is one of the graphic devices for Exynos chipsets doesn¡¯t have exception control routines to handle unexpected commands and it can lead to kernel panic.
The patch prevents kernel panic by ignoring inappropriate commands at the state.",James Fang and Anthony LAOU HINE TSUEI of Tencent Keen Lab
2016,11,2016-08-05,SVE-2016-6853,,Use After Free in /dev/fimg2d,All devices with Exynos 5433/54xx/7420 chipsets,Moderate,"A use-after-free vulnerability in fimg2d allows attackers to gain access to unauthorized data.
The patch with error handling was applied.",James Fang and Anthony LAOU HINE TSUEI of Tencent Keen Lab
2016,11,2016-09-22,SVE-2016-7179,,Broadcasting unprotected intent can activate Turn off all Sound,M(6.0),Low,"The vulnerability allows unauthorized processes to turn off all sound by broadcasting an unprotected intent.
The patch protects the receiver by changing to protected intent.",Qing Zhang of Qihoo 360 and Guangdong Bai of Singapore Institute of Technology (SIT)
2016,11,2016-09-22,SVE-2016-7182,,Broadcasting unprotected intent can activate Turn off all Sound,M(6.0),Low,"The vulnerability allows unauthorized processes to turn off all sound by broadcasting an unprotected intent.
The patch protects the receiver by changing to protected intent.",Qing Zhang of Qihoo 360 and Guangdong Bai of Singapore Institute of Technology (SIT)
2016,11,2016-08-16,SVE-2016-6906,,A IDX Out of Bound vulnerability in systemui can make crash and ui restart,"KK(4.4), L(5.0/5.1)",Low,"One of the activities in SystemUI can produce array index out of bounds exception as a combination of some APIs and it leads to UI restart.
The patch fixes the vulnerability in the corresponding APIs.",Quhe of Alipay unLimit Security Team
2016,11,2016-05-26,SVE-2016-6343,,Unauthorized API access via system service call,M(6.0),Moderate,"The vulnerability allowing unauthorized access to system APIs from system service with improper access control enables attackers to control the device screen.
The patch includes checks for access control.",Zhaozhanpeng of Cheetah Mobile
2016,11,2016-09-29,SVE-2016-7225,,"Heap-overflow in ""tlc_server""",M(6.0),Moderate,"There are two overflow vulnerabilities. One is Heap overflow due to passing an improper size when allocating buffers and the other is Integer overflow due to not verifying the bounds of the value.
The patch removes the part of code related with Heap overflow and verifies the range of integer value to prevent Integer overflow.",
2016,11,2016-10-20,SVE-2016-7504,,Linux kernel race condition on CopyOnWrite (DirtyCOW),All devices,Critical,"Where a lot of write operations and calls to madvise() happens, one of the write operations can reach and write to read-only memory map by a race condition on the Linux kernel when operating with CopyOnWrite(COW) operation.
The fix introduces a new ¡°state¡± for copy-on-write pages which prevents the race condition.",
2016,12,2016-09-13,SVE-2016-7114,,"Heap overflow in ""OTP"" service",All devices which use Exynos AP chipset,Low,"A code flaw in memcpy() function can lead to buffer overflow.
The patch prevents a buffer overflow by using a verified size.",Gal Beniamini of Google Project Zero
2016,12,2016-09-13,SVE-2016-7173,,Stack buffer overflow in OTP TrustZone trustlet,All devices which use Exynos AP chipset,Low,"Stack overflow vulnerabilities exist in OTP TrustZone trustlet.
The patch prevents buffer overflow.",Gal Beniamini of Google Project Zero
2016,12,2016-10-10,SVE-2016-7341,,Heap overflow in sensor driver,"KK(4.4), L(5.0/5.1), M(6.0) devices supporting Hrm sensor",Moderate,"There is no mechanism to prevent concurrent access to sysfs of the MAX86902 sensor driver, which can result in kernel memory corruption by race conditions.
The fix avoids race condition by using locking mechanism.",Gal Beniamini of Google Project Zero
2016,12,2016-09-11,SVE-2016-7118,,BootReceiver security issue patch,"KK(4.4), L(5.0/5.1), M(6.0)",Low,"Lack of appropriate exception handling in BootReceiver allows attackers to make a system crash easily resulting in a possible DoS attack.
The patch prevents system crashes by handling unexpected exceptions.",Qing Zhang of Qihoo 360 and Guangdong Bai of Singapore Institute of Technology (SIT)
2016,12,2016-10-04,SVE-2016-7301,,Mobile Hotspot vulnerability by unprotected intent,"L(5.0/5.1), M(6.0), N(7.0)",Low,"Once receiving a targeted intent, the Mobile hotspot is activated without user interaction and the password of the hotspot is exposed in the log.
The patch protects receivers by permission and removes the password in the log.",Qing Zhang of Qihoo 360 and Guangdong Bai of Singapore Institute of Technology (SIT)
2016,12,2016-09-13,SVE-2016-7119,,Possible Privilege Escalation in telecom,"L(5.0/5.1), M(6.0), N(7.0)",Low,"Lack of appropriate exception handling in some receivers of the Telecom application allows attackers crash the system easily resulting in a possible DoS attack.
The patch prevents system crashes by handling unexpected exceptions.",Quhe of Ant-financial Light-Year Security Lab
2016,12,2016-09-13,SVE-2016-7120,,Possible Privilege Escalation in telecom,"L(5.0/5.1), M(6.0), N(7.0)",Low,"Lack of appropriate exception handling in some receivers of the Telecom application allows attackers crash the system easily resulting in a possible DoS attack.
The patch prevents system crashes by handling unexpected exceptions.",Quhe of Ant-financial Light-Year Security Lab
2016,12,2016-09-13,SVE-2016-7121,,Possible Privilege Escalation in telecom,"L(5.0/5.1), M(6.0), N(7.0)",Low,"Lack of appropriate exception handling in some receivers of the Telecom application allows attackers crash the system easily resulting in a possible DoS attack.
The patch prevents system crashes by handling unexpected exceptions.",Quhe of Ant-financial Light-Year Security Lab
2016,12,2016-09-14,SVE-2016-7132,,Notification Display Error of Shade Locked State,M(6.0),Moderate,"This vulnerability shows notifications intended to be hidden on lock screen and it can disclose the unwanted private information.
The patch fixes it not to show notifications on lock screen according to the user configuration.",Saheer Naduthodi
2016,12,2016-06-17,SVE-2016-6978,,OMACP Security Issue,"KK(4.4), L(5.0/5.1), M(6.0)",Moderate,An authentication routine is added to filter out unauthorized messages and the patch verifies the range of integer value to prevent integer overflow. Additional patches were applied to accommodate custom use of OMACP by certain carriers.,Tom Court of Context
2016,12,2016-06-17,SVE-2016-7661,,OMACP Security Issue,"KK(4.4), L(5.0/5.1), M(6.0)",Moderate,An authentication routine is added to filter out unauthorized messages and the patch verifies the range of integer value to prevent integer overflow. Additional patches were applied to accommodate custom use of OMACP by certain carriers.,Tom Court of Context
2016,12,2016-06-17,SVE-2016-7662,,OMACP Security Issue,"KK(4.4), L(5.0/5.1), M(6.0)",Moderate,An authentication routine is added to filter out unauthorized messages and the patch verifies the range of integer value to prevent integer overflow. Additional patches were applied to accommodate custom use of OMACP by certain carriers.,Tom Court of Context
2016,12,2016-09-13,SVE-2016-7174,,Stack buffer overflow in OTP TrustZone trustlet,All devices which use Exynos AP chipset,Low,"Stack overflow vulnerabilities exist in OTP TrustZone trustlet.
The patch prevents buffer overflow.",
2017,1,2016-10-08,SVE-2016-7340,,Information disclosure via /dev/dsm_ctrl_dev,"L(5.1), M(6.0), N(7.0)",Moderate,"This vulnerability allows reading data outside of buffer boundary due to not checking the boundary.
The applied patch avoids an illegal access to memory by checking the boundary.",Gal Beniamini of Google Project Zero
2017,1,2016-10-04,SVE-2016-7466,,ko(Kernel Module) signature can be bypassed,"M(6.0), N(7.0) devices with Exynos5433, Exynos7420, or Exynos7870 chipset",Low,"Assuming the device is rooted, a vulnerability allows an attacker to bypass kernel module confirmation by manipulating the count value of kernel modules required to check the integrity.
The patch prevents the modification of the count value at the build time.",Gal Beniamini of Google Project Zero
2017,1,2016-10-18,SVE-2016-7484,,Buffer overflow vulnerability in sensor hub,"KK(4.4), L(5.0/5.1), M(6.0), N(7.0) devices with Exynos54xx, Exynos7420, Exynos8890, or Exynos8895 chipset",Low,"There is a potential buffer overflow problem due to not confirming boundary condition before memory copy.
The supplied patch prevents buffer overflow by confirming the sizes of source and destination, but the Linux file permission already protects access to this code.",Gal Beniamini of Google Project Zero
2017,1,2016-10-20,SVE-2016-7500,,Multiple Buffer Overflows in TSP sysfs cmd_store,"M(6.0), N(7.0) devices with Exynos8890 chipset",Low,"There are some potential buffer overflow problems in TSP sysfs due to not confirming boundary condition before memory copy.
The supplied patch prevents buffer overflow by confirming the sizes of source and destination, but the TSP sysfs is already protected by the Linux file permission.",Gal Beniamini of Google Project Zero
2017,1,2016-10-20,SVE-2016-7501,,Race condition in sec_ts touchscreen sysfs interface,"M(6.0), N(7.0) devices with MSM8939, MSM8996, MSM8998, Exynos7580, Exynos8890, or Exynos8895 chipset",Low,"There is no synchronization mechanism between getting the size of the readbuffer and its actual reading, which can result in buffer overflow by race conditions.
The fix avoids race condition by using locking mechanism, but the sysfs is already protected by the Linux file permission.",Gal Beniamini of Google Project Zero
2017,1,2016-10-22,SVE-2016-7510,,"Buffer overflow in ""fps"" sysfs entry","KK(4.4), L(5.0/5.1), M(6.0), N(7.0)",Low,"There is a potential buffer overflow problem in ¡°fps¡± sysfs due to not confirming boundary condition before memory copy.
The supplied patch prevents buffer overflow by confirming the sizes of source and destination, but the ""fps"" sysfs is already protected by the Linux file permission.",Gal Beniamini of Google Project Zero
2017,1,2016-10-25,SVE-2016-7551,,Exposure of Kernel Address on the Log,All devices with Exynos5 chipset,Low,"The vulnerability allows unprivileged users to get kernel addresses from the log due to using wrong format specifier.
The fix shows ¡®0¡¯ value for the kernel addresses to unprivileged users.",Gal Beniamini of Google Project Zero
2017,1,2016-10-24,SVE-2016-7897,,Several RKP issues,"M(6.0), N(7.0) devices with Exynos7420, Exynos8890, or MSM8996 chipset",Moderate,"There are 6 vulnerabilities related with RKP, including memory corruption, information disclosure, privilege escalation, and authentication bypass.
The adequate remedies are applied to each vulnerability.",Gal Beniamini of Google Project Zero
2017,1,2016-05-31,SVE-2016-6362,,out of bound read in gpu driver,"M(6.0), N(7.0) devices with Exynos AP chipsets",Low,"Vulnerability in gpu driver does not properly check the boundary of buffers leading to a possible memory corruption.
The applied patch avoids an illegal access to memory by checking the boundary.",James Fang and Anthony LAOU HINE TSUEI of Tencent Keen Lab
2017,1,2016-11-04,SVE-2016-7654,,Secure data exposure in EAS autodiscover packet,"KK(4.4), L(5.0/5.1), M(6.0), N(7.0)",High,"The vulnerability discloses user credentials to sub-domain whenever users log in at an email account under certain conditions.
The patch avoids disclosure by removing code sending user credentials.",Nesterov Ilya and Goncharov Maxim
2017,1,2016-09-21,SVE-2016-7183,,Security issue patch that exposes path of files through log,"KK(4.4), L(5.0/5.1), M(6.0), N(7.0)",Low,"The vulnerability exposes the lists of files stored in sdcard to the system protected log when receiving certain intent.
The patch restricts the senders capable of broadcasting the intent by permission.",Qing Zhang of Qihoo 360 and Guangdong Bai of Singapore Institute of Technology (SIT)
2017,1,2016-09-13,SVE-2016-7122,,Unexpected SystemUI FC driven by arbitrary application,"L(5.0/5.1), M(6.0), N(7.0)",Low,"Lack of appropriate exception handling in some applications allows attackers to make a systemUI crash easily resulting in a possible DoS attack.
The patch prevents systemUI crashes by handling unexpected exceptions.",Quhe of Ant-financial Light-Year Security Lab
2017,1,2016-08-13,SVE-2016-6917,,Forcing factory resets with a large manifest file on Samsung Android Devices,"KK(4.4), L(5.0/5.1), M(6.0)",Moderate,"A system crash at boot time can be triggered by a malformed manifest file during parsing of active install session APKs, resulting in a possible DoS attack.
The applied patch avoids parsing active install session APKs.",Ryan Johnson and Angelos Stavrou of Kryptowire
2017,1,2016-11-08,SVE-2016-7650,,VR Service Security Issue,"KK(4.4), L(5.0/5.1), M(6.0)",Low,"There is no mechanism to limit to the number of active VR service threads, which can result in system crash by exceeding available number of system threads.
The patch prevents system crash by limiting the number of VR service threads at a time.",Yaoguang Chen of Ant-financial Light-Year Security Lab
